ExcavatorID,Date,Notes,Project,GridNumber,PitNumb,GridCoord,Point1,Point2,Point3,BD1Ft,BD1In,BD2Ft,BD2In,BD3Ft,BD3In,BDOrient,N1,N2,N3,Norient,W1,W2,W3,Worient,FieldID
KEV,01/07/2004,"[Inserted in 2007:] For 2004, I started on the wrong page number.  I started on 270, when in 2003 I ended on 269.  The rest of the pages up until 2007 all are correctly numbered with the 2004 year page starting on 270.",,,,,,,,,,,,,,,,,,,,,,,
KEV,01/07/2004,"Glopped.  Chris helped haul up asphalt buckets.  Took ‘em to Pit 9.  Locked up and went to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,01/15/2004,"More water than normal in the grids.  Somehow the green hose up top was out and dripping into the Pit.  Glopped it all up, went to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,01/21/2004,"Today is my last day.  Karine will be taking over.  I shall return in the summer when the Pit opens.",,,,,,,,,,,,,,,,,,,,,,,
KEV,01/21/2004,"Not as much water today.  Either that or I’m just getting really efficient at glopping.  Anyway, all finished.  Off to the lab.  See you in the summer.",,,,,,,,,,,,,,,,,,,,,,,
KEV,02/25/2004,"Well, I’m back.  I had to come back.  Pit looks fine.  Lots of water from the recent rain.  Lots of asphalt too.  Took buckets to Pit 9.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/03/2004,"Got here at 8am.  Lots of water today!  Must be from all the rain.  Rescued the asphalt buckets from Pit 9.  Glopped.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/03/2004,"All done, off to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/03/2004,"Told Shelley there’s a dead something in the sump.  She suggested I scoop it out so it doesn’t interfere with the pump.  So’s I did.  It was foul!  and at the same time a fowl!  Wow!",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/10/2004,"Glopped.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/10/2004,"Took buckets to Pit 9 for a field trip.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/10/2004,"Off to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/24/2004,"Pump broke, lots of water in the grids yesterday.  I anticipated a busy day and arrived at 7:30.",,,,,,,,,,,,,,,,,,,,,,,
