SpeSpecimenNo,SpeSpecimenNoText,RLBCataloguedByRef.NamFirst,RLBCataloguedByRef.NamLast,RLBDateCatalogued,Column,Column2,IdeTaxonRef_tab(1).ClaGenus,IdeTaxonRef_tab(1).ClaSpecies,Column3,Column4,SitSiteRef_tab(1).RLBDepositNo,RLBRemarks,SitSiteRef_tab(1).RLBCoordinates_tab(1),RLBGHancockCollGrid2,SitSiteRef_tab(1).RLBDepth1,RLBGHancockCollDepth2,RLBRemarks2,RLBGCollectedByInitials,RLBGCollectedByName,IdeIdentifiedByParty_tab(1),IdeDateIdentified0,RLBGroup,RLBElementPart,SpeSide,RLBElementNo,RLBElement,RLBSubElement,RLBEleRemarks,RLBOntogeneticAge,SpePublicationRemarks,RLBDateCollected,Column5,IdeTaxonRef_tab(1).SecDepartment_tab(1),IdeFiledAs_tab(1),SitSiteRef_tab(1).RLBCollection,ColDivision,ColDepartment
Project Acronym,Catalog number,Cataloger First Name,Cataloger Last Name,Date cataloged,higher taxonomic designation,IRN taxonmy,Scientific Name Genus,Scientific Name Species,taxonomy questions,Sites IRN,Pit No.,General locality,Grid No. (1),Grid No. (2),Depth 1,Depth 2,Locality Remarks,Collector initials,Collector name,Identified by,Identified date,Element Group,Element part,Element side,Element No.,Element,Sub-Element,Element remarks,Ontogenetic age,"General publication remarks; author, date, journal title, volume",Date collected (true value),Additional notes that do not fit in other fields,Department (always Rancho La Brea),Filed as (always yes),Collection,Division,Department
HC,16549.0,Mary ,Romig,1984-11-14T00:00:00Z,,4150.0,Smilodon,fatalis,,,1.0,,D-13,,14.0,,,MFP,Museum Field Party,,,forelimb,,lt,2nd,carpal phalanx,digit IV,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10766.0,Mary ,Romig,1984-02-22T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,,rt,,humerus,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,10892.0,Mary ,Romig,1984-03-12T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,dist,rt,,radius,,frag;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11075.0,Mary ,Romig,1984-03-22T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,dist epiph of,lt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,11076.0,Mary ,Romig,1984-03-22T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,forelimb,prox,lt,,ulna,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,13778.0,Mary ,Romig,1984-08-24T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,hindlimb,dist,rt,,tibia,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,15080.0,Mary ,Romig,1984-10-17T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,hindlimb,,rt,V,metatarsal,,,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17108.0,Mary ,Romig,1984-11-28T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,xiphisternum,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,17642.0,Mary ,Romig,1984-12-19T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,cranial,,,,stylohyal,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,18431.0,Mary ,Romig,1985-01-15T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,VII,cervical vertebra,,w broken processes;,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19320.0,Mary ,Romig,1985-02-12T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,I,cervical vertebra,,w broken neural spine,juv,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19334.0,Mary ,Romig,1985-02-13T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,I,thoracic vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19399.0,Mary ,Romig,1985-02-15T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,V,cervical vertebra,,,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19650.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
HC,19651.0,Mary ,Romig,1985-03-01T00:00:00Z,,4101.0,Canis,dirus,,390.0,1.0,,D-13,,15.0,,,MFP,Museum Field Party,,,axial,,,,thoracic vertebra,,w broken processes,,,,,Rancho La Brea,Yes,Hancock Collection,Research and Collections,Vertebrates
